userId,movieId,rating
101,1,4.0
101,3,4.0
101,6,4.0
101,47,5.0
101,50,5.0
101,70,3.0
101,101,5.0
101,110,4.0
101,151,5.0
101,157,5.0
101,163,5.0
101,216,5.0
101,223,3.0
101,231,5.0
101,235,4.0
101,260,5.0
101,296,3.0
101,316,3.0
101,333,5.0
101,349,4.0
101,356,4.0
101,362,5.0
101,367,4.0
101,423,3.0
101,441,4.0
101,457,5.0
101,480,4.0
101,500,3.0
101,527,5.0
101,543,4.0
101,552,4.0
101,553,5.0
101,590,4.0
101,592,4.0
101,593,4.0
101,596,5.0
101,608,5.0
101,648,3.0
101,661,5.0
101,673,3.0
101,733,4.0
101,736,3.0
101,780,3.0
101,804,4.0
101,919,5.0
101,923,5.0
101,940,5.0
101,943,4.0
101,954,5.0
101,1009,3.0
101,1023,5.0
101,1024,5.0
101,1025,5.0
101,1029,5.0
101,1030,3.0
101,1031,5.0
101,1032,5.0
101,1042,4.0
101,1049,5.0
101,1060,4.0
101,1073,5.0
101,1080,5.0
101,1089,5.0
101,1090,4.0
101,1092,5.0
101,1097,5.0
101,1127,4.0
101,1136,5.0
101,1196,5.0
101,1197,5.0
101,1198,5.0
101,1206,5.0
101,1208,4.0
101,1210,5.0
101,1213,5.0
101,1214,4.0
101,1219,2.0
101,1220,5.0
101,1222,5.0
101,1224,5.0
101,1226,5.0
101,1240,5.0
101,1256,5.0
101,1258,3.0
101,1265,4.0
101,1270,5.0
101,1275,5.0
101,1278,5.0
101,1282,5.0
101,1291,5.0
101,1298,5.0
101,1348,4.0
101,1377,3.0
101,1396,3.0
101,1408,3.0
101,1445,3.0
101,1473,4.0
101,1500,4.0
101,1517,5.0
101,1552,4.0
101,1573,5.0
101,1580,3.0
101,1587,5.0
101,1617,5.0
101,1620,4.0
101,1625,5.0
101,1644,3.0
101,1676,3.0
101,1732,5.0
101,1777,4.0
101,1793,4.0
101,1804,5.0
101,1805,4.0
101,1920,4.0
101,1927,5.0
101,1954,5.0
101,1967,4.0
101,2000,4.0
101,2005,5.0
101,2012,4.0
101,2018,5.0
101,2028,4.0
101,2033,5.0
101,2046,4.0
101,2048,5.0
101,2054,4.0
101,2058,5.0
101,2078,5.0
101,2090,5.0
101,2093,3.0
101,2094,5.0
101,2096,4.0
101,2099,4.0
101,2105,4.0
101,2115,5.0
101,2116,5.0
101,2137,5.0
101,2139,5.0
101,2141,5.0
101,2143,4.0
